huntCode,unitDescription,bag,nLicenses,1st,2nd,3rd,T,r1st,r2nd,r3rd,rTot,huntOdds
ORX-1-213,"statewide, off-range, youth only",ES,24,83,140,128,351,74,130,104,308,6.545454545454546
ORX-1-214,"statewide, off-range",ES,96,1057,1292,1318,3667,942,1167,1088,3197,2.5223647169221146
ORX-1-215,"statewide, off-range, youth only",ES,24,56,164,162,382,48,150,145,343,5.877551020408163
ORX-1-216,"statewide, off-range",ES,96,1268,1448,1750,4466,1109,1249,1516,3874,2.0815694372741356
ORX-1-217,"statewide, off-range, youth only",ES,24,93,181,203,477,80,147,181,408,4.9411764705882355
ORX-1-218,"statewide, off-range",ES,96,1354,1776,1906,5036,1094,1467,1582,4143,1.9464156408399709
ORX-1-219,"statewide, off-range, youth only",ES,24,70,167,181,418,46,142,158,346,5.826589595375722
ORX-1-220,"statewide, off-range",ES,80,917,2035,2065,5017,732,1643,1706,4081,1.646655231560892
ORX-1-221,"statewide, off-range, youth only",ES,20,49,151,213,413,42,125,169,336,5.0
ORX-1-222,"statewide, off-range, age 70 and older",ES,40,451,133,187,771,422,114,159,695,4.83453237410072
ORX-1-223,"statewide, off-range",ES,96,850,1057,2489,4396,696,846,2063,3605,2.236893203883495
ORX-1-224,"statewide, off-range, youth only",ES,24,65,125,225,415,58,88,187,333,6.054054054054054
ORX-1-225,GMU 28 McGregor range,ES,25,1384,682,349,2415,1124,537,281,1942,1.0813594232749741
ORX-1-226,"GMU 28 McGregor range, military only",ES,25,144,83,18,245,98,56,11,165,12.727272727272727
ORX-1-227,GMU 28 McGregor range,ES,25,658,1180,535,2373,518,934,421,1873,1.1211959423384943
ORX-1-228,"GMU 28 McGregor range, military only",ES,25,67,140,36,243,52,98,23,173,12.138728323699421
